,0
address1,One Apple Park Way
city,Cupertino
state,CA
zip,95014
country,United States
phone,(408) 996-1010
website,https://www.apple.com
industry,Consumer Electronics
industryKey,consumer-electronics
industryDisp,Consumer Electronics
sector,Technology
sectorKey,technology
sectorDisp,Technology
longBusinessSummary,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts, as well as advertising services include third-party licensing arrangements and its own advertising platforms. In addition, the company offers various subscription-based services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California."
fullTimeEmployees,150000
companyOfficers,"[{'maxAge': 1, 'name': 'Mr. Timothy D. Cook', 'age': 63, 'title': 'CEO & Director', 'yearBorn': 1961, 'fiscalYear': 2023, 'totalPay': 16239562, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jeffrey E. Williams', 'age': 60, 'title': 'Chief Operating Officer', 'yearBorn': 1964, 'fiscalYear': 2023, 'totalPay': 4637585, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Katherine L. Adams', 'age': 60, 'title': 'Senior VP, General Counsel & Secretary', 'yearBorn': 1964, 'fiscalYear': 2023, 'totalPay': 4618064, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': ""Ms. Deirdre  O'Brien"", 'age': 57, 'title': 'Chief People Officer & Senior VP of Retail', 'yearBorn': 1967, 'fiscalYear': 2023, 'totalPay': 4613369, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Kevan  Parekh', 'age': 52, 'title': 'Senior VP & CFO', 'yearBorn': 1972, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Chris  Kondo', 'title': 'Senior Director of Corporate Accounting', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Suhasini  Chandramouli', 'title': 'Director of Investor Relations', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Kristin Huguet Quayle', 'title': 'Vice President of Worldwide Communications', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Greg  Joswiak', 'title': 'Senior Vice President of Worldwide Marketing', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Adrian  Perica', 'age': 50, 'title': 'Vice President of Corporate Development', 'yearBorn': 1974, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}]"
auditRisk,3
boardRisk,1
compensationRisk,3
shareHolderRightsRisk,1
overallRisk,1
governanceEpochDate,1738368000
compensationAsOfEpochDate,1703980800
irWebsite,http://investor.apple.com/
executiveTeam,[]
maxAge,86400
priceHint,2
previousClose,237.3
open,236.95
dayLow,234.51
dayHigh,238.3083
regularMarketPreviousClose,237.3
regularMarketOpen,236.95
regularMarketDayLow,234.51
regularMarketDayHigh,238.3083
dividendRate,1.0
dividendYield,0.42
exDividendDate,1739145600
payoutRatio,0.1571
fiveYearAvgDividendYield,0.6
beta,1.2
trailingPE,37.82512
forwardPE,28.630564
volume,22611076
regularMarketVolume,22611076
averageVolume,50200878
averageVolume10days,44590280
averageDailyVolume10Day,44590280
bid,236.52
ask,244.0
bidSize,3
askSize,1
marketCap,3574058188800
fiftyTwoWeekLow,164.08
fiftyTwoWeekHigh,260.1
priceToSalesTrailing12Months,9.030872
fiftyDayAverage,240.3468
twoHundredDayAverage,225.58736
trailingAnnualDividendRate,0.99
trailingAnnualDividendYield,0.0041719344
currency,USD
tradeable,False
enterpriseValue,3607762042880
profitMargins,0.24295
floatShares,14998187904
sharesOutstanding,15022100480
sharesShort,127893856
sharesShortPriorMonth,135189465
sharesShortPreviousMonthDate,1736899200
dateShortInterest,1739491200
sharesPercentSharesOut,0.0085
heldPercentInsiders,0.02286
heldPercentInstitutions,0.62712
shortRatio,2.22
shortPercentOfFloat,0.0085
impliedSharesOutstanding,15390999552
bookValue,4.438
priceToBook,53.60973
lastFiscalYearEnd,1727481600
nextFiscalYearEnd,1759017600
mostRecentQuarter,1735344000
earningsQuarterlyGrowth,0.071
netIncomeToCommon,96150003712
trailingEps,6.29
forwardEps,8.31
lastSplitFactor,4:1
lastSplitDate,1598832000
enterpriseToRevenue,9.116
enterpriseToEbitda,26.267
52WeekChange,0.3208282
SandP52WeekChange,0.1410315
lastDividendValue,0.25
lastDividendDate,1739145600
quoteType,EQUITY
currentPrice,237.92
targetHighPrice,325.0
targetLowPrice,197.0
targetMeanPrice,252.22575
targetMedianPrice,257.5
recommendationMean,2.06522
recommendationKey,buy
numberOfAnalystOpinions,40
totalCash,53774999552
totalCashPerShare,3.58
ebitda,137352003584
